date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:59	19326/19326	---MCZ	200	added ('OK')	text/html	etag:W/%224b7e-574cf55e88d79%22	http://warethemes.com/html/bready/cart.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/cart.html	(from http://warethemes.com/html/bready/)
23:00:00	18368/18368	---MCZ	200	added ('OK')	text/html	etag:W/%2247c0-574cf5643ad5a%22	http://warethemes.com/html/bready/whishlist.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/whishlist.html	(from http://warethemes.com/html/bready/)
23:00:02	19119/19119	---MCZ	200	added ('OK')	text/html	etag:W/%224aaf-574cf55fabdac%22	http://warethemes.com/html/bready/compare.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/compare.html	(from http://warethemes.com/html/bready/)
23:00:03	22712/22712	---MCZ	200	added ('OK')	text/html	etag:W/%2258b8-574cf55f7c00e%22	http://warethemes.com/html/bready/checkout.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/checkout.html	(from http://warethemes.com/html/bready/)
23:00:13	32674/32674	---M--	200	added ('OK')	image/png	etag:%227fa2-571e9a75ded1d%22	http://warethemes.com/html/bready/images/logo-light.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/logo-light.png	(from http://warethemes.com/html/bready/)
23:00:14	27263/27263	---MCZ	200	added ('OK')	text/html	etag:W/%226a7f-574cf55e5803b%22	http://warethemes.com/html/bready/blog-list.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/blog-list.html	(from http://warethemes.com/html/bready/)
23:00:15	20042/20042	---MCZ	200	added ('OK')	text/html	etag:W/%224e4a-5778c870989ba%22	http://warethemes.com/html/bready/contact.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/contact.html	(from http://warethemes.com/html/bready/)
23:00:21	26936/26936	---MCZ	200	added ('OK')	text/html	etag:W/%226938-574cf55b7d8da%22	http://warethemes.com/html/bready/about.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/about.html	(from http://warethemes.com/html/bready/)
23:00:22	23671/23671	---MCZ	200	added ('OK')	text/html	etag:W/%225c77-574cf562557cf%22	http://warethemes.com/html/bready/order-form.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/order-form.html	(from http://warethemes.com/html/bready/)
23:00:22	94979/94979	---M--	200	added ('OK')	image/png	etag:%2217303-571e9a75eb83c%22	http://warethemes.com/html/bready/images/shopping-cart/1.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/shopping-cart/1.png	(from http://warethemes.com/html/bready/)
23:00:23	36546/36546	---MCZ	200	added ('OK')	text/html	etag:W/%228ec2-571e9a75ec7dc%22	http://warethemes.com/html/bready/menu.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/menu.html	(from http://warethemes.com/html/bready/)
23:00:24	23118/23118	---MCZ	200	added ('OK')	text/html	etag:W/%225a4e-574cf55d96a83%22	http://warethemes.com/html/bready/blog-grid.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/blog-grid.html	(from http://warethemes.com/html/bready/)
23:00:24	25832/25832	---MCZ	200	added ('OK')	text/html	etag:W/%2264e8-574cf55ca090e%22	http://warethemes.com/html/bready/blog-detail.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/blog-detail.html	(from http://warethemes.com/html/bready/)
23:00:26	4151/4151	---M--	200	added ('OK')	image/png	etag:%221037-571e9a75ded1d%22	http://warethemes.com/html/bready/images/icons/badge-brown.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/icons/badge-brown.png	(from http://warethemes.com/html/bready/)
23:00:26	83211/83211	---M--	200	added ('OK')	image/png	etag:%221450b-571e9a75eb83c%22	http://warethemes.com/html/bready/images/shopping-cart/2.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/shopping-cart/2.png	(from http://warethemes.com/html/bready/)
23:00:26	66110/66110	---M--	200	added ('OK')	image/png	etag:%221023e-571e9a75eb83c%22	http://warethemes.com/html/bready/images/shopping-cart/3.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/shopping-cart/3.png	(from http://warethemes.com/html/bready/)
23:00:28	12411/12411	---M--	200	added ('OK')	image/png	etag:%22307b-571e9a75ded1d%22	http://warethemes.com/html/bready/images/icons/floral.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/icons/floral.png	(from http://warethemes.com/html/bready/)
23:00:41	9402/9402	---M--	200	added ('OK')	image/png	etag:%2224ba-571e9a75ded1d%22	http://warethemes.com/html/bready/images/icons/award-1.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/icons/award-1.png	(from http://warethemes.com/html/bready/)
23:00:52	328945/328945	---M--	200	added ('OK')	image/png	etag:%22504f1-571e9a75c667e%22	http://warethemes.com/html/bready/images/banner/slider-6.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/banner/slider-6.png	(from http://warethemes.com/html/bready/)
23:00:54	8040/8040	---M--	200	added ('OK')	image/png	etag:%221f68-571e9a75ded1d%22	http://warethemes.com/html/bready/images/icons/award-2.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/icons/award-2.png	(from http://warethemes.com/html/bready/)
23:01:05	3580/3580	---M--	200	added ('OK')	image/png	etag:%22dfc-571e9a75eb83c%22	http://warethemes.com/html/bready/images/signature-2.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/signature-2.png	(from http://warethemes.com/html/bready/)
23:01:14	202133/202133	---M--	200	added ('OK')	image/png	etag:%2231595-571e9a75eb83c%22	http://warethemes.com/html/bready/images/signature.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/signature.png	(from http://warethemes.com/html/bready/)
23:01:14	75761/75761	---M--	200	added ('OK')	image/jpeg	etag:%22127f1-571e9a75cc43e%22	http://warethemes.com/html/bready/images/bg/home-product.jpg	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/bg/home-product.jpg	(from http://warethemes.com/html/bready/)
23:01:16	402/402	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Mar%202019%2022:01:15%20GMT	http://warethemes.com/html/bready/product-list.html	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/product-list.html	(from http://warethemes.com/html/bready/)
23:01:19	15418/15418	---M--	200	added ('OK')	image/png	etag:%223c3a-571e9a75ded1d%22	http://warethemes.com/html/bready/images/icons/badge-red.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/icons/badge-red.png	(from http://warethemes.com/html/bready/)
23:01:19	591468/591468	---M--	200	added ('OK')	image/png	etag:%229066c-571e9a75c667e%22	http://warethemes.com/html/bready/images/banner/slider-5.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/banner/slider-5.png	(from http://warethemes.com/html/bready/)
23:01:25	67737/67737	---M--	200	added ('OK')	image/png	etag:%2210899-571e9a75e895c%22	http://warethemes.com/html/bready/images/products/2.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/products/2.png	(from http://warethemes.com/html/bready/)
23:01:27	105039/105039	---M--	200	added ('OK')	image/png	etag:%2219a4f-571e9a75e79bc%22	http://warethemes.com/html/bready/images/products/1.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/products/1.png	(from http://warethemes.com/html/bready/)
23:01:28	94979/94979	---M--	200	added ('OK')	image/png	etag:%2217303-571e9a75e895c%22	http://warethemes.com/html/bready/images/products/3.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/products/3.png	(from http://warethemes.com/html/bready/)
23:01:41	66110/66110	---M--	200	added ('OK')	image/png	etag:%221023e-571e9a75e895c%22	http://warethemes.com/html/bready/images/products/5.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/products/5.png	(from http://warethemes.com/html/bready/)
23:01:43	83211/83211	---M--	200	added ('OK')	image/png	etag:%221450b-571e9a75e895c%22	http://warethemes.com/html/bready/images/products/4.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/products/4.png	(from http://warethemes.com/html/bready/)
23:02:05	10664/10664	---M--	200	added ('OK')	image/jpeg	etag:%2229a8-571e9a75ec7dc%22	http://warethemes.com/html/bready/images/user/1.jpg	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/user/1.jpg	(from http://warethemes.com/html/bready/)
23:02:05	8165/8165	---M--	200	added ('OK')	image/jpeg	etag:%221fe5-571e9a75ec7dc%22	http://warethemes.com/html/bready/images/user/2.jpg	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/user/2.jpg	(from http://warethemes.com/html/bready/)
23:02:09	10879/10879	---M--	200	added ('OK')	image/jpeg	etag:%222a7f-571e9a75ec7dc%22	http://warethemes.com/html/bready/images/user/3.jpg	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/user/3.jpg	(from http://warethemes.com/html/bready/)
23:02:10	11567/11567	---M--	200	added ('OK')	image/jpeg	etag:%222d2f-571e9a75ec7dc%22	http://warethemes.com/html/bready/images/user/4.jpg	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/images/user/4.jpg	(from http://warethemes.com/html/bready/)
